asin,description,title,price
28,"Stylish Design* Super small Light weight compact design.Compatibility* Compatible with all Smartphones within 2.16"" to 3.9"" Inches.Top Quality* 3M washable GEL pad, there is no need for a extra sticky pad.Easy Install* Mount or remove your device from the retractable holder with one hand while driving--holder stays in place on one side and retracts on the other.12 Month Manufacturer Warranty","FRiEQ&reg; Premium Stylish Universal Dashboard Windshield Car Mount Holder for Smartphones including iPhone 5, Samsung Galaxy S4, S3, S2, Verizon Galaxy Nexus and more - Black",11.99
29,"EasyAcc  make it easyEasyAcc  Bluetooth Speaker - make you enjoy music more easilyWhy choosing EasyAcc  Bluetooth Speaker?1. Multi-play Function- Wireless audio streaming (appay to all bluetooth-enabled devices)- 3.5mm AUX Line-in port - audio streaming with non-bluetooth devices such as MP3, MP4,CD Players- USB Flash Drives and micro SD Cards play supported - no need to carry mobile phones, tablet, etc., support MP3 format2. FM Radio Function: 87.0-108.0 MHz3. Telephone Answering Function (hands free)The interner microphone supports answer,reject, end a call directly from speakers4. Pefect for Outdoor activitiesOutput Power: 2 W x 2, powerful sound, suitable for outdoor play, e.g. sports, cookouts, picnic, etc.Built-in rechargeable Li-ion battery5. Special Appearencefootball shape designed, simple and modern style, can be used not only as a bluetooth speaker ,but also an adornmentCompatible with: Mobile phones, tablets, Laptops,Computers, iPad, iPhone, iPod, MP3, MP4 etc.Specification:Weight: 258g (9 oz.)Output power: 2W * 2Driver: 1.5"" *2Operating Range: 10M (32 ft - no obstacles such as door , wall)Talking Time: 5 hoursPlaying time: 8 hours (normal volume)Standby time: 48 hoursCharging time: 2-3 hoursWhat's in the Box:1 x  Mini Speaker1 x  Li-lon battery1 x  Micro USB Cable1 x  3.5 mm stereo audio cable1 x  User Manual","EasyAcc&reg; 2nd Gen Olive Bluetooth Speaker with Built-in microphone -Support USB Flash &amp; micro SD Card Playing, Mini Outdoor Sports Portable Wireless Speaker for Samsung, iPhone,iPad, Nokia, HTC,Tablets PC,Notebook [ FM function,color:Blue]",19.99
30,"Yubi Power YPCC-210W High Output Dual USB Car Charger For iPad and iPhoneEasily charge your USB powered devices such as your iPad, iPod, iPhone, Blackberry, Android, cellular phones, MP3 players, PDAs and GPS.This charger allows for two of your devices to be simultaneously charged. The dual port interface uses your existing USB cables to let you plug in and get charged.This charger can output a total of 2.1 Amps. The charger is equipped with one 2.1A port for your iPad and one 1A port for your iPhone, iPod Touch or other less demanding device. Simultaneously charge your iPad and your cell phone at the same time.The 2.1A port will provide enough power to charge your Ipad when only charging your ipad, and leaving the remaining USB port unoccupied. But when using both USB output ports the total 2.1A will then split and provide 1.1A to each USB output. That is enough for 2 cellphones, or Iphones, or Ipod & Iphone,..Compatible Models:MP3 players,ipods,iphone 4s, iphone 4s, iphone 3G, Iphone 5,Apple iPad,Mobile phones,PDA, GPS, MP4,Portable wifi,Amazon Kindle fire / DX and other kindles.And most USB powered devices.Package Includes:1pc Yubi Power 2.1Amps 10W Dual Port USB Car chargerUser Guide1 year limited waranty included",Yubi Power YPCC-210W 2.1Amps / 10W Dual USB Car charger Designed for Apple and Android Devices - White,9.99
31,"The Sendy SDP-0520 Portable Powerbank is designed to juice up almost all handheld devices. Never run out of power now!!Have you ever found yourself in one of the following situations:??Hiking or Camping, on a long flight trip, at a park.....Or are you a salesperson, driver, or just using your Iphone to listen to music....And... Your phone or tablet dies on you withno power!!!??!! And you don't have access to a power source to charge them up?Not anymore, once you purchase the Sendy SDP-0520 power bank, you just have to charge the power bank, and then carry it with you in your pouch. And whenever your devices run low on battery, just connect them to the Sendy power bank and they will charge on the go!A must have for everyone! It comes in a nice retail packaging and makes a great gift!Technical Specifications- Battery Type: Lithium-ion Battery- Capacity: 19.2Wh, 5200mAh- Input: 1A @ 5V DC- Output: 5V, 1A (Max)Device Compatibility:- All iPhones, iPods and iPads- Android smartphones - HTC, All Droids, Samsung- Blackberry smartphones- Other USB powered devicesNote: The USB charging port behaves like a computer's USB port. Please test your device's compatibility with a computer first. Some devices like PS Vita do not charge via a computer and hence might not work with the Sendy.What's in the Box- Sendy 0520 Portable USB Battery Pack- USB Charging Cable- Micro USB, Apple 30pin for Iphone 4, Mini USB, PSP, connector tips- Carrying Pouch- User ManualWarrantyBuy with ConfidenceShipped by Amazon7*24 hours Support1 Year Limited replacement warranty",Sendy 5200mAh High Capacity Portable Power Backup External Battery Charger with built-in Flashlight,18.99
32,"Bolse3.1A Dual USB Port High Output Wall/Travel/AC Charger is designed to charge multiple power hungry iPad, iPhone, Mobile phones, MP3 Players, Digital Cameras and other USB devices at fastest possible speed.This charger charges tablets at 2.1 Amps and most phones at 1 Amps current. This results in fastest possible charging of your device.USB Ports:Port 1 (labeled as 2.1A port): Compatible with iPad, iPhone, iPod Touch and others phones / GPS / Tablet etc. (May not support charging or slow charging with some devices)Port 2 (labeled as 1.0A Port): Compatible with iPhone, iPod Touch and others phones / GPS / Tablet etc.NOTE 1: Currently known support tablets: iPad, Samsung Galaxy Tab Series, Amazon Kindle Fire & all other Kindles, Nook Color,HTC Flyer, Huawei Tablets.NOTE 2: NOT compatible with HP TouchPad, Asus transformer, Motorola Xoom or Blackberry Playbook.One-Year Limited Warranty",Bolse 3.1A 15W Dual USB Port High Output Wall/Travel/AC Charger - White,10.99
33,"iClever--Ever CleverUL CertifiedUL product safety evaluations involve a comprehensive review of important safety issues such as electrical shock, fire hazards, and even performance when it's inherent to a product operating safely. UL Standards encompass UL's extensive safety research, scientific expertise and uncompromising focus on quality. Products with UL certification turn to be safe and reliable.Specifications:-Input: 100-240V 50/60Hz 500mA.-Output: DC 5V 2.1A & 5V 1A-Max Output: DC 5V/3.1A-Size: 1.97"" x 1.57"" x 0.79""Popular Compatible Models:(Not a full list)- iPhone 5/5S,iPhone 4/4S,iPhone 3GS,iPad mini,iPad 2/3/4,ipod nano/shuffle/touch/classic;Samsung Galaxy,Alcatel One Touch,Acer Liquid,Google Nexus 7,BlackBerry,BLU Touch Book,Dell XPS 10,Gigabyte GSmart,HP TouchPad,HTC One,Huawei Ascend,Karbonn Smart Tab,LG Optimus,Lenovo,Meizu,Nokia Lumia,Panasonic Toughpad,Sonim,Sony Xperia Tablet,Sony Ericsson Xperia,Toshiba Excite,Vodafone Smart,Xiaomi,ZTEUSB Port 1 (2.1A) Compatibility- Apple: The New iPad / iPad 2- Other: Nook Color, HTC Flyer, Huawei Tablets- Other Tablet PC with 5V 2.1A InputUSB Port 2 (1A) Compatibility- Apple: iPhone 5/iPhone 4S/ipod...- Samsung: Galaxy S 4 i9500 S3 i9300, Galaxy S II i9100/T-mobile Galaxy S II T989- HTC: Sensation 4G/Sensation XE/XL /Amaze 4G/Radar 4G/EVO 4G...- Motorola:Atrix 2/Droid X/Triumph/Bionic/Razr- Others phones / GPS / Tablet etc. @ 1 to 2 Ampere Max&#x25BA;SearchB00H4PDH4Uon Amazon for theiClever 30W/5V-6A 5-Port USB Family-Sized Desktop Charger","[UL Certified] iClever&reg; 3.1A 15W Dual USB Travel Mobile Wall Charger AC Power Adapter for Apple and Android Phones and Tablets: Apple iPad Air, iPad 2, New iPad 3, iPad Mini iPhone 5S 5C 5 4s 4 3 3Gs, Samsung Galaxy Tab, HTC Samsung Motorola Android Phones and External Battery- 2 Year Warranty",10.99
34,,"Bolse AON5 11000mAh 5 USB Port 5.9Amp External Battery Pack High Capacity Power Bank for iPhones, Android Phones, Tablets, MP3, MP4 and other devices",45.99
35,,"Bolse AON4 10000mAh 5V 9V 12V Output Multi-voltage External Battery Pack High Capacity Power Bank for smartphones and Tablets (Dual USB Output: 5V, 2.1A; DC Output: 9V / 12V, 2A)",37.99
36,,ECOXGEAR - ECOROX Rugged and Waterproof Wireless Bluetooth Speaker - Black,89.96
37,"The Etronic  2.1A [12W] Dual-Port Turbo USB Car Charger charges two electronic devices simultaneously, eg. iPad, iPhone, iPod, MP3 Players, Digital Cameras, PDAs, Mobile Phones and other devices. It is compact with high quality finish and comes with full 1 year limited warranty.Heavy Duty Turbo Charger Keeps Your Devices RunningSupport: MP3 players, ipods, iphone 4s, iphone 4s, iphone 3G, Apple iPad, Mobile phones, PDA, GPS, MP4, Portable wifi, Amazon Kindle fire / DX and other kindles.- Apple: iPhone 5 4S 4; iPads and iPods @1A to 2.4A Max- Android Phones: Samsung Galaxy S4 S3 S2, Galaxy Note 2, Motorola Droid RAZR MAXX, HTC One X V S; All models @1.0A to 2.0A Max- Other Devices: GPS, PSP / Nexus 7, Nexus 10 etc. @0.5A to 2.0A Max (NOT compatible with Samsung Galaxy Tabs)What's in the Box- Etronic  2.1A [12W] Dual-Port Turbo USB Car ChargerWarrantyThe Etronic  2.1A [12W] Dual-Port Turbo USB Car Charger is backed by manufacturer 1 year warranty. Please contact us via email if you have any questions.",Etronic &reg; 2.1A (12W) Dual-Port Turbo USB Car Charger Designed for Apple and Android Devices - White,7.44
38,"The Etronic Quad Port USB AC / Travel charger charges FOUR of electronic devices simultaneously, eg. iPad, iPhone, iPod, MP3 Players, Digital Cameras, PDAs, Mobile Phones and USB for power. It is compact with high quality finish and comes with full 1 year limited warranty.Heavy Duty Charger That Charges ALL Your Devices At OnceSupport: MP3 players, ipods, iPhone 5, iphone 4s, iphone 4s, iphone 3G, Apple iPad, Mobile phones, PDA, GPS, MP4, Portable wifi, Amazon Kindle fire / DX and other kindles.- iPad @ 2 Ampere Max- iPhone / iPod Touch @ 1 Ampere Max.- Currently known support tablets: Amazon Kindle Fire & all other Kindles, Samsung Galaxy Tab Series, Nobal Nook Color, Nook Tablets, HTC Flyer.- May NOT support some Blackberry phones.- [NOT compatible with  HP TouchPad, Asus transformer or Motorola Xoom]What's in the Box- 1x Quad Port USB AC / Travel charger- User manualWarrantyThe Etronic Quad Port USB AC / Travel charger is backed by our 1 year warranty.",Etronic &reg; Quad Port USB 2.1A 10W AC Travel Wall Charger (White),13.44
39,"Do you have multiple iDevices in your home? Siblings, Wives, and strangers fighting over who's cable is who's.With 3 cables in a variety of colors, or all the same (White and Black) you will end these disputes once and for all!Need a longer cable for watching a movie, or using your phone in bed, or in the car - we have you covered these cables are a full 2 meters, or 6.5 feet long. No need to lean towards the outlet, or crouch on the floor anymore.There are plenty of cheapo cables out there - they might charge, they might sync, they might only be good as a short rope - don't be stranded on a plane, train, trip, or the road with one of those cables!We check and certify every cable we sell and back it with aTWO (2) Year. Unconditional guarantee - if its not lost, we will replace it!These cables are compatible with Apple's iPad 1,2 and 3, unlike many other ""non-Apple brand"" cables. They're also compatible with Apple's iPhone 4/4S and 3G/3GS, as well as the iPod Touch. However, they're not compatible with Apple's iPhone 5, iPod 5, iPad Mini or iPad 4. All of these models use the new lightning connector.**Note: Charging your iPad from a computer will not work well with ANY cables since a computer does not have the required 1.8 Amp power output.
Charging an iPad at a decent speed requires the USB cable to be connected to a dedicated >1.8 Amp wall or car charger.","Bundle of 3 Premium Certified 6.5 Feet USB Data Sync Cables for Apple iPhone 4, 4s, 3gs, iPod Touch 1, 2 ,3, 4 iPad 1, 2, 3 (NOT Lighting) (Blue Purple Pink)",9.99
40,"Specs:- Average Charging time for iPhones 1.5 hrs- Input Charging Time 5 - 6 hrs- Life Cycle &gt; 500 Times- Input: DC 5V / 1000mA- Output: DC 5.3V / 1000mA- Dimension: 3.66x1.69x0.87 inchCompatible with Most Cell Phones:Apple:iPhone 3G / 3GS / 4S / iPhone 4&nbsp; iPhone 5 ipod touch/classic/nano 
/ iPad 1/2/3, iPad Mini(Support All iPhone/iPod Models)HTCSensation XE XL / Thunderbolt / EVO 3D / EVO 4G / Incredible S / Evo 
Shift 4g ...SamsungGalaxy S 2 / Epic 4G / Galaxy S 4G / Galaxy Nexus ...BlackberryCurve / Storm 2 / Tour Style / Bold ...MotorolaAtrix / Bionic / Droid X , X2, 2 , 3, 4, Pro , R2D2 / triumph 
...NokiaN900 / N8 / N97 / C6 / C3 C7 / E7 / X6 ...LGOptimus , 2x , V , S , T / Quantum / Vortex ...SonyExperia ARC Arc / Neo / Play / Mini ...AmazonKindle Fire, and all other kindles ...OthersNook Color, NDS, Portable Wifi, PSP(NOT compatible with PSP 
vista)Package Includes:4400mAh Mobile External Power SourceUser Guide1x MicroUSB Charging cables","iFlash 4400mAh Backup External Battery Pack Charger with built-in Flashlight for iPhones, iPods, iPads, Samsung, HTC, Sony smartphones, Tablets and Other Device: PS Vita; GoPro and more [White Color, Retail Package]",16.99
41,"Specs:- Average Charging time for iPhones 1.5 hrs- Input Charging Time 5 - 6 hrs- Life Cycle &gt; 500 Times- Input: DC 5V / 1000mA- Output: DC 5.3V / 1000mA- Dimension: 3.66x1.69x0.87 inchCompatible with Most Cell Phones:Apple:iPhone 3G / 3GS / 4S / iPhone 4&nbsp; iPhone 5 ipod touch/classic/nano 
/ iPad 1/2/3, iPad Mini(Support All iPhone/iPod Models)HTCSensation XE XL / Thunderbolt / EVO 3D / EVO 4G / Incredible S / Evo 
Shift 4g ...SamsungGalaxy S 2 / Epic 4G / Galaxy S 4G / Galaxy Nexus ...BlackberryCurve / Storm 2 / Tour Style / Bold ...MotorolaAtrix / Bionic / Droid X , X2, 2 , 3, 4, Pro , R2D2 / triumph 
...NokiaN900 / N8 / N97 / C6 / C3 C7 / E7 / X6 ...LGOptimus , 2x , V , S , T / Quantum / Vortex ...SonyExperia ARC Arc / Neo / Play / Mini ...AmazonKindle Fire, and all other kindles ...OthersNook Color, NDS, Portable Wifi, PSP(NOT compatible with PSP 
vista)Package Includes:4400mAh Mobile External Power SourceUser Guide1x MicroUSB Charging cables","iFlash&reg; 4400mAh Backup External Battery Pack Charger with built-in Flashlight for iPhone 5/4S/4/3GS/3G, all iPhone, iPad 1/2/3/4 Mini, iPod Touch models; Android Smart phones: Samsung Galaxy S4/S3/S2 S III I9300 I9500, Galaxy S2 S II I9100, Galaxy Nexus, Galaxy Note II / HTC Sensation, One X, One S, Thunderbolt, EVO / Nokia N9 lumia 900 800 / Motorola Triumph, Droid 3 X X2 Bionic Razr; PS Vita; GoPro; and More Mobile Devices [Black Color, Retail Package]",16.99
42,"Product Features:The TUDIA Dual Port USB 3.1A Car Charger charger is so far the coolest designed with Blue Silicone Bands Gripper Handle - For better plugging in and pulling out from the cigarette charging port. This Car Charger will charge both of your tablet and smartphone simultaneously without interrupting the performance of your device.Compatible ModelsApple:iPhone 5, iPhone 4S, iPhone 4, iPhone 3G, iPhone 3GS; All version of iPad, iPad Mini, All Version of iPod Touch @ 1 to 2.1 Amp Max (Charging cable not included)Android Phones:Samsung Galaxy S4 I9500, S3, S2, Galaxy Note 2, Galaxy S4 Active, Galaxy S4 Mini / Motorola Droid RAZR MAXX, / HTC One X V S (M7), Almost All Smartphones (Charging cable not included)Other Devices:GPS / PSP / Kindle, Kindle Fire / Nexus 7 etc. @ 2.1 Amp Max (NOT compatible with HP TouchPad, Asus transformer, Motorola Xoom or Samsung Galaxy Tabs) (Charging cable not included)",TUDIA 3.1A / 15W (2.1A + 1.0A) Dual Port USB Ultra High Speed Simultaneous Charging Car Charger - Black/ Blue,14.99
43,"**Charges your iPads, iPhones, iPods (Do Not support all android devices)**Bolse Lastest 4.2A/20W High Output Dual USB Wall Charger. This compact charger is perfect for the modern commuter who needs power for their iPad and smartphone, with a total output of 4.2A, this charger can power up to 2 Tables at the same time or Apple Products. Few other devices on the market can offer this much power. Use your existing USB charging cables to charge most USB powered devices. Sophisticated circuit desing with over-heated, over-current, over-charging protection. Charging will be automatically stop when battery is full.Specifications:Input Voltage: 10-24V DCUSB Output 1: 5V, 2.1A(Max)USB Output 2: 5V, 2.1A(Max)Total Output: 5V, 4.2A (Max)Compatibility:iPads (all versions, upto 2.1A rapid charge)All iPhones and iPods (upto 1A rapid charge)Package Includes:1 Bolse 4.2Amps 20W Dual Port USB Charger, 1 User Guide12 Month Manufacturer Warranty from Bolse","Bolse&reg; 4.2Amp 20W High Output Turbo Charge Dual USB Port Wall Charger for iPad Air, iPad Mini, iPad 4/3, iPhone 5/5S/4/4S- Black",16.99
44,"Bolse AON6 is a line of portable external batteries designed for our modern mobile age. High capacity power and compact designs make these batteries a reliable power companion on the go. Samsung Grade A cells high quality Lithium-ion battery ensures reliability.Compatible With:Apple iPhone 5 4s, 4, 3Gs, 3G, 2G / iPod Touch / iPad 1 2 3 4 [OEM CABLE REQUIRED]HTC One X V S / Sensation XE XL / Thunderbolt / EVO 3DSamsung Galaxy S3 S2 Note / Epic 4G / Galaxy Nexus / Galaxy Tab seriesBlackberry Curve / Storm / Tour / Style / Bold / TorchMotorola Atrix / Bionic / Droid Razr Maxx, X , X2, 2 , 3, 4 / triumphNokia N900 / N8 / N97 / C6 / C3 / Lumia 800 900 700LG Optimus , 2x , V , S , T / Quantum / VortexSony Experia / X1 / X10 / X8 / Arc / Neo / Play / MiniAmazon Kindle Fire, HD, DX and all other kindlesPackage Includes:1 Bolse AON6 External Battery4 connectors for most phones1 USB spring power wire1 Convenient travel pouch1 Instruction manual12 Month Manufacturer Warranty from Bolse","Bolse&reg; AON6 Dual USB Output 5200mAh External Battery Pack High Capacity Power Bank for Cellphones, iPhone, Tablets, Samsung Galaxy S4, S3, Note 2, HTC Sensation, EVO, One X, etc.",13.99
45,"Abco Tech Waterproof Wireless Bluetooth Shower Speaker & Hands free speakerphone - - Compatible with all Bluetooth Devices, iPhone 5 Siri and All Android devices Are you guilty of Jamming Out To Your Favorite Tunes In The Shower? Enhance your shower experience with the Abco Tech Bluetooth Shower Speaker & Hands Free Speakerphone.  Our Bluetooth activated device is the industry standard for playing your music while taking a shower. Experience The New Wave of Bluetooth Speaker Technology:  - Connect to all Bluetooth compatible devices  - Works great with Siri, Samsung S-Voice, Google Music, Pandora & all other Audio APPs.  - Built in call answer feature for Use as a hands free speakerphone.  - Convenient & responsive buttons for music and/or call control.  - Auto pairing allows you to connect the device from longer ranges.   Along with our IPX4 Grade Waterproof Shower Speaker Features:  - Playback time of 15 hours per charge - Extremely light weighing in at 12 ounces - 3W output rechargeable battery - Frequency response: 100 HZ - 20 Khz - Built-in Bluetooth 3.0 + EDR receiver - Distortion: &lt;1.0% Note: Limited Time Pricing/Quantity. Prices/Stock Subject To Change. Abco Tech Promises To Bring You Affordable, HIGH QUALITY Gear - 100% Customer Satisfaction - Period.","Abco Tech Water Resistant Wireless Bluetooth Shower Speaker with Suction Cup and Hands-Free Speakerphone, Aqua",22.99
46,"The BIONIC SHIELD is our slim and chip-resistant glass screen protector.The BIONIC SHIELD is our slim and chip-resistant glass screen protector. It has all the great properties of the BIONIC SHIELD and it has also been reduced 28% in thickness and weight. Being made of glass, the edges of the screen protector are the most vulnerable to chipping. However, the round edges help to deflect shock from bumps and drops. The BIONIS SHIELD is made to protect the LCD from damages and scratches with specially processed glass that had been reinforced to increase shock absorbency. The entire surface of the BIONIC SHIELD is also transparent. When installed, there are no gaps between the LCD and the BIONIC SHIELD which means that the touch screen's sensitivity is not affected.This particular kit includes:&#x2022; Zeetron Bionic Shield&#x2022; Two metallic home buttons&#x2022; Microfiber Cloth&#x2022; Alcoholic pad&#x2022; squeegeeFeatures:&#x2022; Fingerprint resistant&#x2022; Scratch proof&#x2022; Waterproof&#x2022; No effect on touch sensitivityCompatible with&#x2022; iPhone 5&#x2022; iPhone 5S&#x2022; iPhone 5C1 Year Limited Warranty:Zeetron products are covered under a one year limited warranty  (Will not cover if the shield is cracked)",Zeetron Bionic Shield Premium Tempered Glass Screen Protector for iPhone 5 / 5S / 5C - Retail Packaging,9.99
47,,Lepow Moonstone 6000mAh External Battery for Smartphones and Tablets - Retail Packaging - Glossy Black,24.99
48,"ARCTIC Power Bank 2200 is an ultra-compact portable charger with 2200mAh capacity and 1.0Amp output power that is perfect for recharging your power-hungry smartphones or MP3 players without the bulk. The solid hi-tech all-aluminum cylindrical casing comes in 4 vibrant colors (black, blue, silver and pink) to complement your lifestyle. ARCTIC Power Bank 2200 conveniently fits into gym bags, purses, laptop bags and backpacks while serving as a reliable portable backup for your small mobile devices. Charging is as simple as connecting the cables between the devices. LED indicator keeps you informed about the charging progress. Built-in safety features such as auto-shutoff prevents unintentional overload and short-circuit, protecting your mobile devices. ARCTIC Power Bank 2200 comes with a 2-year limited warranty.","ARCTIC Power Bank 2200 Ultra-Compact Backup Battery/Charger, 1.0A Output 2200mAh for Smartphones/MP3 - Blue",14.95
49,"Bolse M3 is a line of portable external batteries designed for our modern mobile age. High capacity power and compact designs make these batteries a reliable power companion on the go.Compatible With:Apple iPhone 5, 4s, 4, 3Gs, 3G, 2G / iPod Touch / iPad 1 2 3 4 [OEM CABLE REQUIRED]HTC One X V S / Sensation XE XL / Thunderbolt / EVO 3DSamsung Galaxy S3 S2 Note / Epic 4G / Galaxy Nexus / Galaxy Tab seriesBlackberry Curve / Storm / Tour / Style / Bold / TorchMotorola Atrix / Bionic / Droid Razr Maxx, X , X2, 2 , 3, 4 / triumphNokia N900 / N8 / N97 / C6 / C3 / Lumia 800 900 700LG Optimus , 2x , V , S , T / Quantum / VortexSony Experia / X1 / X10 / X8 / Arc / Neo / Play / MiniAmazon Kindle Fire, HD, DX and all other kindlesPackage Includes:1 Bolse M3 External Battery3 connectors for most phones1 USB spring power wire1 Convenient travel pouch1 Instruction manual12 Month Manufacturer Warranty from Bolse","Bolse&reg; M3 6600mAh Dual Port External Battery Pack High Capacity Power Bank With Smart Digital Battery Indicator for Cellphones, iPhone 5, Tablets, Samsung Galaxy S4, S3, Note 2, HTC Sensation, EVO, One X, etc.",32.99
50,"About ZEEES KrakenZEEES Kraken is the world's largest capacity portable external battery with dual outputs designed for extending mobile device battery life. It features high energy density, fast charging time, compact design, and smart safety protection circuit, making it the most reliable power companion on the go. With an affordable price and great ZEEES customer service, you will enjoy your mobile life more than ever with the ZEEESTM Kraken.Popular Compatible Models:Apple:iPhone 6, 5S, 5C, 5 / iPhone 4S, 4, 3GS / iPod(Apple cable required)HTC:One X, S, V / Sensation, Sensation XE XL / EVO 4G / Radar 4G / Inspire 4G / Vivid 4G / Wildfire S / ThunderBolt / Incredible 2 S / Rezound / Desire X, C, V, HD, S, ZSamsung:Galaxy S5 S4 S3 / Galaxy Note 2 / Galaxy S2 I9100 / Galaxy S I9000 / Verizon Galaxy S3 I535 / AT&amp;T Galaxy S3 I747 / Sprint Galaxy S3 L710 / T-Mobile Galaxy S3 T999 / T-Mobile Galaxy S2 T989 / AT&amp;T Galaxy S2 I777 / AT&amp;T Galaxy S2 Skyrocket SGH-I727 / Galaxy Nexus / Galaxy Note / Focus S / InfuseMotorola:Droid Razr, Bionic / Atrix 2 / TriumphLG:G2, Nexus 4, Optimus 4X, 2X, V, S, T, 3D, 7Nokia:Lumia 920 900 710 800 / N8 / N9Others:Blackberry Torch Curve 9900 9360 9320 / Sony Ericsson Xperia Arc S, X10 / PSP / Nook Color / MP3 MP4 MP5 / GoPro","ZEEES KRAKEN 2600mAh (Silver) Premium Portable High Capacity External Battery Power Bank Backup Charger For Apple iPhone 6, 5S, 5C, 5, 4S, iPad, Air, Mini, Samsung Galaxy S5, S4, S3 Spare Battery Charger, Note, Nexus, LG, HTC One M8, Amazon Fire Phone",7.23
51,"Lots of JuiceThe 10000mAh Juice Box S2 Power Bank is designed to deliver long lasting, high capacity power to all of your mobile devices.The advanced technology and battery power packed into this powerful, durable, stylish, portable and light weight product will amaze and delight.Practical DesignThe device has a round button on the side to power on and off, and digital screen to display how much power is left. A really nifty feature is a flashlight that you can use in case of emergency or if there's a black out.Safety EnergyAdvanced power lock technology and ensure battery safety. The device will automatic shutdown when short circuit or over charging happened to avoid destroy the device and accident.Strong CompatibilityDual USB output ports, perfect for rapidly charging the external battery. The USB cable with 3 mobile phone/tablet connectors is compatible with many cell phones.CompatibilityIPhone 5S, 5, 4S, 4, 3iPad 4, 3, 2, Mini & iPodSamsung Galaxy S4, S3, S2, Note 1, 2, 3HTC One, Sensations G14 XE XL, EVO, Thunderbolt, Incredible, Droid DNAMotorola ATRIX, DroidGoogle Nexus 4, Nexus 7, Nexus 10LG OptimusPS Vita, GoProNokia N9 Lumia 920 900 / Blackberry Z10 / Sony Xperia ZZTET-mobile, Verizon, ATTPackage list10000mAh Power Bank x1, Three in One USB Cable x1, Velvet Bag x1, User Manual x1.Why Choose OXA?At OXA (More Juice - More Life) is not just a slogan. It is our commitment to you that we will deliver High Quality Products and Support for those Products to our customers before and after the sale. Search OXA on Amazon to get more items you need.","OXA Juice Box S2 10000mAh Safe External Battery 18M WTY Premium Samsung Cells Digital Screen&amp;Flashlight All-in-One charger external portable power supply for Apple iPhone 5, 4S, 4, 3, iPad 4, 3, 2, Mini, iPods Samsung Galaxy S4, S3, S2, Note 1, 2, 3; Nexus; HTC One, Sensations G14 XE XL, EVO, Thunderbolt, Incredible, Droid DNA; Motorola ATRIX, Droid; Google Nexus 4, Nexus 7, Nexus 10; LG Optimus; PS Vita, GoPro; Nokia N9 Lumia 920 900 / Blackberry Z10 / Sony Xperia Z; ZTE; T-mobile, Verizon, ATT, (5V 2A and 1A USB Output) Mirco USB connector and more",25.99
52,"Stylish & PortableIt is designed with stylish rectangle shape with the charming fresh fragrance to portable and small enough to fit in the pockets but also powerful, and could match with sleek good looks of mobile devices.Powerful CompatibilityCharge most mobile phones, such as iPhone, Nokia, Motorola, HTC, Samsung, LG, Blackberry, Sony Ericsson etc. Also support iPad, Kindle, Digital Camera, MP3/MP4 Players and other USB Devices.Reliable & DurabilitySamsung Grade A cell and premium microchips ensure high quality, reliable use up to 500+ battery charge cycles; Securely designed with three layers of smart safety protection including short-circuit protection, over current protection, overcharge protection.Ideal TravelmateIt can solve many mobile devices power supply problems in terms of power shortage and can make your devices work and travel carefree; And it is a perfect gift to your friends and family.Package list2600mAh Power Bank x1, USB Connector x1, Power Connectors x4Why Choose OXA?*Quality is the best salesman. Any items sold by OXA have 1 year guarantee from manufacturers. What's more, OXA will extend the warranty time for half a year.",OXA Perfume 2600mAh SAFE External Battery 18M WTY Premium Samsung Cells Key Chain charger external portable power supply (Check Amp for tablets) for Smartphones and other electronic devices,9.99
53,"Stylish and Powerful External Battery Designed for Travelling.Stylish and PortableDesigned for portability, stylish and lightweight, smooth to touch and easily put into your pocket or bag for use when you need it.Steady and ReliableAdvanced and intelligent chips provide overcharging, over-discharging, over-load and short-circuit protection, keep your devices have safe and reliable power.Indicator LED Lights4 LED lights work as charge indicators to show battery level or charging status, keep your gadgets going for long times and still have juice left to share.Practical DesignNot only charge your digital devices with 2 USB ports when travelling, but also give you a unique LED flashlight, no worry about the darkness.Package List:7800mAh Power Bank x1, USB Connector x1, Power Connectors x4, Velvet Bag x1, User Manual x1.Why Choose OXA?*Quality is the best salesman. Any items sold by OXA have 1 year guarantee. What's more, OXA will extend the warranty time for half a year.*OXA have professional staff to answer your questions, and we are ready to help you resolve any issues, no worry about after-sales service.*More juice, More life; OXA adhere to provide our customers with high quality products and excellent service, search OXA on Amazon to get more items you need.","OXA 7800mAh Juice Box S1 Portable External Battery Pack with Samsung Grade A cell Microchips and Dual USB Ports for iPhone 5, 4S, 4, 3, iPad 4, 3, 2, Mini, iPods; Samsung Galaxy S4, S3, S2, Note 1, 2, 3; Nexus; HTC One and More - Black",22.99
