,asin,description,title,price
78,78,,"KIND PLUS, Almond Cashew + Omega-3, Gluten Free Bars (Pack of 12)",18.99
79,79,"Timothys Colombian Decaf Keurig K-Cups are one of only two decaffeinated Colombian coffees currently available for the Keurig Brewing System. Even though this Keurig K-Cup is caffeine free, it retains most of its original coffee character. A delicious choice for those that are watching their caffeine intake.  Timothys Colombian Decaf Keurig K-Cups are the perfect selection for anyone looking for a full-flavored, medium-bodied coffee that is also 100% caffeine free.",Timothy's World Coffee Decaf Colombian K-Cup Coffee (48 count),36.98
80,80,"Emerils Big Easy Bold Keurig K-Cups are a classic Parisian roast. Emerils Big Easy Bold a thick, hearty blend. Its deep, dark color and invigorating aroma will definitely kick it up a notch. Emerils Big Easy Bold uses a minimum of 50% Rainforest Alliance Certified coffee beans.","Emeril's Big Easy Bold Coffee, 24-Count K-Cups for Keurig Brewers (Pack of 2)",34.98
81,81,,Wine.com Say It With Chocolate Gift Basket,36.92
82,82,"It was 1925 in the flourishing italian community of san francisco. Rinaldo and ezilda torre blended their first torani italian syrups using authentic recipes brought from lucca,italy. The enterprising couple shared their naturally flavored syrups throughout their north beach neighborhood. Mixing their rich torani syrups with sparkling water andice, they introduced the classic italian soda to cafe owners. This bright,refreshing creation quickly caught on with thirsty customers. In time, torani&#x2019;s reputation for creating syrups of the highest quality and greatest variety grew. In the 1980&#x2019;s, torani and good, old american ingenuity came together in an unexpected and flavorful way. &#x201C;brandy&#x201D; brandenburger, a coffee industry veteran, noticed the brightly colored torani bottles while visiting san francisco&#x2019;s landmark caf&#xE9;, caff&#xE9; trieste. Experimenting with the naturally flavored syrups, he created a new american classic the flavored caffe latte. The rest is coffee history. For decades, torani&#x2019;s red, gold and blue labels have been part of the caf&#xE9; lifestyle. Today, torani is the best-selling specialty syrup in north america and a sign of good taste around the world. What began as five traditional italian flavors has expanded to more than 80 naturally flavored syrups and a host of creative flavoring ingredients, including the torani blended line. Each torani product is still made using only the finest ingredients and a careful blend of all natural extracts. For the finest in flavoring ingredients and beverage creativity, reach for torani.","Torani Sweetener Syrup, Cane Sugar, 25.4 Ounce",15.95
83,83,"Go ahead take a moment to savor the warm, soothing comforts of Swiss Miss. Our hot cocoa mix is made with care: Fresh milk from local farms is blended with premium imported cocoa. Treat your senses to the wholesome and delicious delights of all of our collections. ABOUT CONAGRA Chef Boyardee is a member of the ConAgra Foods family, one of the largest packaged foods companies in North America with major presence in retail outlets, foodservice and restaurants, and in ingredients. Our more than 70 brands--which include favorites such as Pam, Hunt's, Healthy Choice,  Wesson, Swiss Miss, Rotel, Peter Pan, Marie Callender's, Hebrew National, Wolf Brand Chili, Rosarita, Egg Beaters, Orville Redenbacher's, and more--are in 96% of U.S. households, and more than 30% of ConAgra Foods brands are number one in their category.","Swiss Miss Hot Cocoa Mix, Sensible Sweets, Diet, 8-Count, 0.29 oz Envelopes (Pack of 6)",28.0
84,84,"Developed to provide athletes with protein and carbohydrate immediately following training and competition, Gatorade Protein Recovery Shake jump-starts the muscle recovery process and helps provide a nutritional bridge to an athlete&#x92;s next meal.Gatorade Protein Recovery Shake contains 20 g of milk protein isolate, which contains whey and casein proteins shown to stimulate muscle protein synthesis when consumed 30 to 60 minutes after exerciseOnce digested, whey and casein protein provide all of the essential amino acids needed to support protein synthesisIt also contains 44 g of carbohydrate to help enhance uptake of amino acids liberated from the ingested protein and to speed glycogen restorationWhen to Consume:Drink one can 30 to 60 minutes after training and competition.Frequently Asked QuestionsQ: What is the difference between Gatorade Protein Recovery Shake and Gatorade Recovery Protein Powder?A. Both products were developed to provide athletes with protein and carbohydrate immediately following activity to facilitate muscle proten recovery and glycogen synthesis. Athletes can base teir use of hte products as determined by the intensity of their workout or competition. Since the carbohydrate content of Gatorade Protein Recovery Powder in a 20-ounce bottle of Gatorade Thirst Quencher is nearly twice that of the Protein Recovery Shake, it's particularly well-suited for use after prolonged and intense training sessions when carbohydrate stores have become nearly depleted.","Gatorade Performance Series Protein Recovery Shake, Vanilla, 11-Ounce Cans (Pack of 6)",0.0
85,85,"White Tea scented with the soothing aroma of fresh jasmine flowers. Rishi White Teas are made from authentic medium-leaf tea bush varietals which produce silvery-white sprouts and leaves. They are delicately hand harvested only once a year, for a few weeks in early spring when the weather is consistently cool and dry. White Tea is the least processed of all tea types, resulting in a milder flavor without bitterness and a sweeter finish than green tea. Compared to other teas, White Teas are very low in caffeine and contain high concentrations of antioxidant polyphenols (tea catechins). White Tea originated in a small area north of the Min River in the province of Fujian. It is this region, 1000 meters above sea level where Rishi White Teas are cultivated organically at select smallholder gardens using authentic white tea bush varietals and the classic white tea leaf-withering process. Each year, Rishi travels to this remote heritage region to work directly with the artisans and select the highest quality tea of the season. USDA organic. Certified kosher. Certified Organic by Quality Assurance International.","Rishi Tea Organic Silver Needle Jasmine  Loose Tea, 1.9-Ounce Tin (Pack of 2)",13.85
86,86,"Bold and sweetly smooth with an enlivening aroma of bergamot citrus. USDA organic. Certified kosher. Certified Organic by QAI. Ancient Tree Teas are hand harvested in a wild, organic and shade grown environment. The old tea tree forests are rich with biodiversity, fertile soil and ecological balance not typically found in cultivated tea gardens. By choosing Fair Trade Certified Ancient Tree Teas you are directly supporting a better life for Yunnan's ethic minority families through fair prices, direct trade, community development, education and environmental stewardship. The Dai, Lahu Bulang ethic minorities of Yunnan's remote mountain villages have cultivated tea for more than 1300 years, harvesting it from heirloom tea trees planted by their ancestors in 696 AD. Rishi's Ancient Tree Teas are produced exclusively by these peoples, whose economic well-being and cultural traditions are intertwined with the ancient trees.","Rishi Tea Organic Black Tea, Earl Grey Loose Tea, 3.3-Ounce Tin (Pack of 3)",5.89
87,87,"In 1925, Rinaldo and Ezilda Torre visited family in Lucca, Italy. The two returned home to their native San Francisco with something very important: handwritten recipes, which they used to create authentic flavored syrups. These syrups helped Rinaldo and Ezilda reintroduce the Italian soda to their neighborhood.  Years later, our syrup was used to create the world&#x2019;s first flavored latte! We&#x2019;ve remained a family-owned company -- adhering to the high quality standards that Rinaldo and Ezilda set nearly 90 years ago. Each and every syrup, sauce, and smoothie is created with care and pride. That&#x2019;s a promise from our entire family -- including the more than 100 members that make up the Torani team. We started with just five syrups. Today, you can use more than 100 of our naturally flavored syrups, sauces and beverage bases in coffees, sodas, teas, smoothies, cocktails and more. And we&#x2019;re excited to bring you new taste traditions and flavors as we move forward.","Torani Sugar-Free Syrup, Vanilla, 25.4-Ounce PET Bottles (Pack of 3)",24.99
88,88,"Meeting government guidelines for health, the Healthy Choice brand is actually healthy.  Just how healthy?  Healthy Choice products are: low in fat and saturated fat, controlled in sodium and cholesterol, a contributor of important nutrients such as protein, vitamin A, iron, and zinc.  The brand also offers: chef-inspired contemporary flavors, vegetarian options, such as: Pumpkin Squash Ravioli, Asian Potstickers, and Tomato Basil Penne, and MyPyramid label graphics identifying food-group contributions. ABOUT CONAGRA Chef Boyardee is a member of the ConAgra Foods family, one of the largest packaged foods companies in North America with major presence in retail outlets, foodservice and restaurants, and in ingredients. Our more than 70 brands--which include favorites such as Pam, Hunt's, Healthy Choice,  Wesson, Swiss Miss, Rotel, Peter Pan, Marie Callender's, Hebrew National, Wolf Brand Chili, Rosarita, Egg Beaters, Orville Redenbacher's, and more--are in 96% of U.S. households, and more than 30% of ConAgra Foods brands are number one in their category.","Healthy Choice Lunch Express, Italian Style Penne 6.95-Ounce Bowls (Pack of 6)",0.0
89,89,"Help get more fiber and whole grains into your diet without giving up the taste you love in your snacks! Wheat Thins Fiber Selects are an excellent source of fiber, a good source of whole grains, and are packed with the great taste and amazing crunch you expect from Wheat Thins. Wheat Thins Fiber Selects is available in two flavors: 5-Grain and Garden Vegetable.","Wheat Thins, Fiber Select, 5 Grain, 8-Ounce Boxes (Pack of 6)",0.0
90,90,"Nutiva's cold-pressed, Organic extra-virgin coconut oil has light taste, pleasant aroma, and pure white color. Please note that any tiny brown specks found at the bottom of Nutiva's Coconut Oil are from the coconut fiber and are indigenous to extra-virgin coconut oil. It is deliciously healthy cooking oil. Better than butter and are USDA Organic. Unrefined with no trans fats, rich in lauric acid.","Nutiva Organic Extra Virgin Coconut Oil, 15-Ounce (Pack of 2)",11.41
91,91,"If you are looking for great tasting oats, then go no further than McCann's Steel Cut Irish Oatmeal. Imagine taking the best oats, removing the outer husk (which is inedible) and then cutting them into smaller pieces - that's all we do! Now you can see why McCann's Steel Cut Irish Oats are so rich and wholesome, with their unique, nutty taste - there is no processing, no additions, nothing artificial.","Mccann's Steel Cut Oatmeal, 28-Ounce Tin (Pack of 4)",33.33
92,92,"A celebration of summer, with its sweet flavor of juicy sun-kissed blueberries baked to perfection in a buttery crust. It's Fair Trade, too!","Green Mountain Coffee Fair Trade Wild Mountain Blueberry, 24-Count K-Cups for Keurig Brewers (Pack of 2)",27.5
93,93,"Homemade Dressings is a new salad dressing mix designed with today's food and diet in mind.  It's full of natural herbs and spices that you can see, smell and taste.  Make each dish your very own with this new seasoning blend.","Homemade Dressings Napa Garden Salad Dressing Mix &amp; Rub, 4-Ounce Containers (Pack of 3)",0.0
94,94,"Mr. Z's Premium Beef Jerky is the ultimate portable snack.  Derived from Premium cuts of 100% Grass Fed Beef, with no added hormones or antibiotics, Mr. Z's is a healthy and delicious snack alternative.  Packed with protein and low in calories, fat, and carbohydrates, each bag of Mr. Z's Premium Beef Jerky is Energy to Go.  These 80 calorie bags are perfect fit for today's 24/7 lifestyles.  Our Original flavor is seasoned with a unique blend of spices, resulting in premium quality beef jerky that tastes great.","Mr. Z Premium Cuts Beef Jerky Original Flavor, 4-Ounce Bags (Pack of 6)",0.0
95,95,Lightly sweet with a hint of dark chocolate flavored cocoa powder.  A light chocolate flavor and big crunch without the calories and fat of chocolate-dipped nuts.  Baked-in flavor = no mess.  Only 150 calories per serving!,"Emerald Cocoa Roast Almonds, Dark Chocolate, 10 oz Canister (Pack of 4)",87.5
96,96,"Indulge yourself with these Marcona Almonds rich with vitamin E, roasted lightly and sprinkled with natural sea salt.","Emerald Marcona Almonds, 11.5oz Canister (Pack of 4)",0.0
97,97,Lightly roasted with natural sea salt and a hint of pepper.  Seasoning for the consumer who is tired of plain old cashews.  Only 160 calories per serving.,"Emerald Sea Salt &amp; Pepper Cashew, 10oz Canister (Pack of 4)",32.39
98,98,"Multigrain flakes, brown sugar, barley flakes, honey, dried strawberries, dried raspberries, dried blackberries, vanilla extract and vitamin E. No artificial preservatives, flavors, or colors. The great stuff you want. 100% natural. Connecting with nature is one of life's simple pleasures.No artificial flavors or preservatives, hydrogenated oils, or high fructose corn syrup. It's easy to make eating a pleasure every day.","Back To Nature Summer Berry Blend Cereal, 10.5-Ounce Boxes (Pack of 6)",0.0
99,99,NEWTONS Fruit Crisps snacks are the new crispy snacks made with real fruit. The great flavors of your favorite fruits are baked between two thin crisps in a 110 calorie snack. The crispy texture and delicious taste make it a distinctive eating experience. NEWTONS Fruit Crisps are available in Apple Cinnamon and Mixed Berry.,"Newtons Fruit Crisp Snacks, Apple Cinnamon, 8-Count Boxes (Pack of 6)",0.0
100,100,,"Nescafe Dolce Gusto for Nescafe Dolce Gusto Brewers, Caffe Lungo, 16 Count (Pack of 3)",25.47
101,101,,"Nescafe Dolce Gusto for Nescafe Dolce Gusto Brewers, Espresso, 16 Count (Pack of 3)",26.4
102,102,,"Nescafe Dolce Gusto for Nescafe Dolce Gusto Brewers, Cappuccino, 16 Count (Pack of 3)",26.18
103,103,"Werther's original caramel milk chocolate, 5.2-ounce bags (pack of 12) is rich milk chocolate marbled with the flavor of smooth, creamy caramel in fine European tradition.","Werther's Original Caramel Milk Chocolate, 5.2-Ounce Bags (Pack of 6)",0.0
104,104,,"The Switch Sparkling Juice, Black Cherry, 8-Ounce Cans (Pack of 24)",25.65
105,105,,"The Switch Sparkling Juice, Orange Tangerine, 8-Ounce Cans (Pack of 24)",25.65
106,106,,"The Switch Sparkling Juice, Kiwi Berry, 8-Ounce Cans (Pack of 24)",25.65
107,107,,"The Switch Sparkling Juice, Watermelon Strawberry, 8-Ounce Cans (Pack of 24)",25.65
108,108,"Imagine the soothing combination of Quaker Oats, cinnamon and spice. Now imagine being able to enjoy this tantalizing trio in just 90 seconds at any time of the day. With Quaker Instant Oatmeal Cinnamon & Spice, make this blissful daydream a tasty reality, and see where your day leads when you start out right with a bowl of Quaker Oats.","Quaker Instant Oatmeal Cinnamon &amp; Spice, 10-Count Boxes (Pack of 4)",26.99
109,109,,"Cheerios Cereal, 14 Ounce (Pack of 4)",0.0
110,110,,"Quaker Instant Oatmeal Apples &amp; Cinnamon, 1.51oz Packets, 10-Count Boxes (Pack of 4)",23.53
111,111,,"Quaker Instant Oatmeal Maple Brown Sugar,  1.51 oz. Package, 10-Count Boxes (Pack of 4)",10.77
112,112,"Planters Big Nut Bars, Double Peanut crunchy peanuts and chewy peanut butter meet granola goodness.","Planters Big Nut Bars, Double Peanut, 8.1-Ounce, 5-Count Cartons (Pack of 10)",0.0
113,113,"Kraft's South Beach Living brand gives consumers delicious choices to manage their weight, whether they are following the South Beach Living or simply trying to eat better.  From cereals to frozen entrees to 100 Calorie snack bars, South Beach Living products offer great taste and convenience for every diet at every meal.","South Beach Living Fiber Fit Bars, Mocha, 5-Count Bars in 6.15-Ounce Boxes (Pack of 8)",0.0
114,114,"Planters Big Nut Bars, Roasted Triple Nut, brings great taste and satisfaction anywhere. It is made with honey roasted peanuts, almonds and cashews. It is 30% bigger than leading nut and granola bars.","Planters Big Nut Bars, Roasted Triple Nut, 5-Count Bars  (Pack of 10)",0.0
115,115,"Start with simple, wholesome granola made with whole grain rolled oats perfectly sweetened with natural ingredients. Throw in a generous handful of rich, dark chocolate chunks and you&#x2019;ve got a heavenly combination of flavors.","Back To Nature Granola Chocolate Delight, 12-Ounce Pouches (Pack of 6)",24.75
116,116,,"Popchips 6-Flavor Variety Pack, 0.8-Ounce Single Serve Bags (Pack of 24)",49.4
117,117,Boost Kid Essentials - Chocolate 6pk,"Boost Kid Essentials - Chocolate, 8.25-Ounce Boxes (Pack of 24)",0.0
118,118,"Our goal at Peeled Snacks is simple: to make you feel good about snacking.  We keep our snacks as close to natural as possible, without adding sugar or oil and bringing you juicy pieces of dried fruit and crunchy roasted nuts. So make snacking a satisfying part of life with Peeled Snacks.","Peeled Snacks Apple-2-the-core, 1.23-Ounce Boxes (Pack of 10)",20.34
119,119,,"Boost Kid Essentials 1.5 Cal, Vanilla, 8-Ounce Boxes (Pack of 27)",53.54
120,120,"Barilla PLUS is a great source of protein and Omega 3's, made with healthy ingredients like flax seed and legumes.  **Note:  Due to its higher protein content Barilla PLUS&#xAE; takes several extra minutes to cook than traditional pasta.  Cooking time is 10-11 minutes. PLUS pairs well with tomato based sauces and sauces with lots of fresh vegetables.  Oil based sauces work well with all PLUS shapes.","Barilla Penne Plus, 14.5 Ounce Boxes (Pack of 8)",29.99
121,121,"Barilla PLUS is a great source of protein and Omega 3's, made with healthy ingredients like flax seed and legumes.  **Note:  Due to its higher protein content Barilla PLUS&#xAE; takes several extra minutes to cook than traditional pasta.  Cooking time is 10-11 minutes.  PLUS pairs well with tomato based sauces and sauces with lots of fresh vegetables.  Oil based sauces work well with all PLUS shapes.","Barilla Rotini Plus, 14.5 Ounce Boxes (Pack of 8)",29.99
122,122,,"Barilla PLUS Spaghetti, 14.5 Ounce Boxes (Pack of 10)",34.39
123,123,"From its humble beginnings in 1877 as a small shop and bakery in Parma, Italy, Barilla has grown and strived to become the internationally trusted brand of pastas, sauces and Italian entr&#xE9;es that it is today. Our mission is to help people live better by bringing well-being and the joy of eating into their everyday lives. Barilla values its customers and employees, and believes that a sense of belonging, courage, and intellectual curiosity inspire our company&#x2019;s behavior and characterize our people. Barilla has always linked its development to customers&#x2019; wellbeing and to the communities in which it operates. The Italian food tradition of superior quality and simple recipes is alive and well with Barilla&#x2019;s line of Italian products. Let us transport you with our delicious and high quality pastas.","Barilla Whole Grain Spaghetti, 13.25 Ounce Boxes (Pack of 10)",19.49
124,124,"Among the smallest fish used for sardines, our brisling are world-famous for their dainty size, delicate texture, light flavor, and consistent quality. 100% wild-caught when fully mature at just 9.0cm to 13.5cm long, fished in the pristine, icy Norwegian fjords and coastal waters of Norway. Packed in BPA-free, recyclable aluminum cans. Finest quality, tiny brisling sardines in top-grade extra virgin olive oil. Wood-smoked for light flavor. Hand-packed as always. No preservatives. Kosher-certified (OU), and available kosher-certified for Passover (OUP). Try on a sandwich, in a salad, or with fresh pasta. The superfood from the sea.","King Oscar Sardines Extra Virgin Olive Oil, 3.75-Ounce Cans (Pack of 12)",42.99
125,125,"Jones GABA is a refreshing tea-juice beverage infused with the amino acid, GABA. Gamma-aminobutyric acid, as it's known to scientific types, is an amino acid that your brain produces naturally; GABA helps to relax your brain, reduce stress and allows you","Jones Soda GABA Fuji Apple, 12 Ounce Cans (Pack of 12)",0.0
126,126,"A combination of two well-beloved indulgences: tea and chocolate.  Using a rich backbone of dark pu-erh tea, Numi blends organic cocoa and real spices for a decadent treat and a healthy way to satisfy your cravings.  The velvety infusion is accented by whole vanilla beans, sweet orange peel, and a dash of rooibos.  Rounded off with a finish of nutmeg and cinnamon, this tea is sure to delight chocolate lovers and tea fans alike.","Numi Organic Tea Chocolate Puerh, Full Leaf Black Tea, 1.24 oz.,16 Count Tea Bags",7.37
127,127,,"Keurig, The Original Donut Shop, 50 Count K-Cup Packs",35.69
128,128,,"Keurig, Gloria Jean's, Hazelnut, K-Cup packs, 50-Count",27.72
129,129,,"Numi Organic Tea Chocolate Puerh, Full Leaf Black Tea, 16-Count Tea Bags (Pack of 2)",20.3
130,130,"About the BrandNumi's vision is to inspire well-being of mind, body, and spirit through the simple art of tea. Numi elevates the tea experience through quality, creativity, and authenticity. We are grateful to those who contribute to our tea journey, and we hope to have a positive impact on all members of our ""Communitea""--from farmer to packer to our fellow tea drinker. Conscientious of the impact of our actions, we aspire to be environmentally responsible and globally sustainable by using recyclable and biodegradable packaging and sustainable bamboo in our merchandising.The Numi JourneyIn the fall of 1999, brother and sister Ahmed and Reem had a vision-to revive the serenity, creativity, and comfort that is inspired by the simple art of tea. Both artistic souls and world explorers, the two siblings have combined their belief in the transcendental properties of tea with their individual passions for photography, art, and culture. The result of this blend was Numi Tea, a refreshing and innovative selection of teas and teasans that awaken the palate, inspire the soul, and gracefully enhance water's unique potential.Ahmed, the master alchemist behind Numi's blends, discovered the calming simplicity of tea and herbal teasans while living in Prague, Czech Republic, where he co-owned and ran two teahouses. A distinguished photographer, Ahmed used his artistic and intuitive nature as a foundation for his innovative and artisan approach to the blending of teas.Fluent in English, Arabic, French, German and Czech, Ahmed is a citizen of the world; each pot of Numi tea is an amalgamation of his worldly cultural knowledge, his in-depth understanding of teas, and his appreciation for quality.Ahmed's sister Reem has a background that is almost as diverse as the selection of Numi teas. Before the advent of Numi, Reem, a biomedical engineer, moved to Italy to nurture her artistic aspirations. Reem has exhibited her artwork around the world in San Francisco, New York City, Melbourne, and Florence. But you don't need to be a globetrotter to admire her artwork--Reem's original paintings are also exhibited on each one of Numi's packages. Inspired by her brother's photos and by the meditative nature and timeless essence of tea, Reem painted Numi's artwork using oil on small tin plates, with imagery that evokes a slower, more contemplative way of being. Reem believes that tea, like art, has a universal essence and is a portal for self-reflection.What started as a dream in Reem's small Oakland apartment moved to a lovely 25,000 squrare-foot space on the Oakland waterfront and has progressed into an exciting and delicious journey. Since its beginning, Numi has carved a distinct path in the U.S. tea world by introducing exotic teas such as Rooibos (Red Tea), Lemon Myrtle, Honeybush, and Dry Desert Lime, and also by offering full-leaf tea in teabags, without added oils or flavorings. Numi continues to pave the way and set new tea trends, most recently with the launch of the first line of Organic Puerh Tea in bags and bottles!","Numi Organic Tea Magnolia Puerh, Full Leaf Green Tea, 16-Count Tea Bags (Pack of 2)",0.0
131,131,"Bring your own caf&#xE9; experience home with GEVALIA Kaffe Dark Chocolate Truffle &#x2013; a blend of rich and creamy dark chocolate flavor and choice Arabica beans from Central and South America. The result is a velvety smooth coffee taste that's exceptionally satisfying. Enjoy this gourmet coffee after dinner, served with a helping of good conversation.","Gevalia Dark Chocolate Truffle Ground Coffee, 8-Ounce Packages (Pack of 3)",0.0
132,132,,"Sahale Snacks Variety Pack, 4 Flavors, 2-Ounce Pouch (Pack of 12)",0.0
133,133,"Homemade Dressings is a new salad dressing mix designed with today's food and diet in mind.  It's full of natural herbs and spices that you can see, smell and taste.  Make each dish your very own with this new seasoning blend.","Homemade Dressings Italian Garden Salad Dressing Mix &amp; Rub, 3.3 Ounce Container",6.02
134,134,,"illy issimo Coffee Drink, Cappuccino, 8.45-Ounce Cans (Pack of 12)",24.77
135,135,"This Enfagrow Gentlease product includes the nutrients tailored for your toddler's healthy physical growth and mental development. A nutritious alternative to milk, this product includes nutrients that help support the growth and immune systems of toddlers nine months and up. It also includes about 1/2 as much lactose as the Enfagrow milk-based toddler drink and easy-to-digest proteins that have been partially broken down. This product is part of Enfamil Staged Nutrition, along with Enfamil PREMIUM Newborn and Enfagrow PREMIUM Infant (sold separately).GentleaseAt a Glance:Provides your toddler with tailored nutritionContains about 1/2 asmuch lactose as the Enfagrow milk-basedtoddler drink and partially hydrolyzed, easy-to-digest proteinsHelps support healthy growth and brain developmentHelps support a toddler's developing immune systemDeveloped by Mead Johnson, a leading provider of science-based pediatric nutrition products for over 100 yearsScientifically developed with a special blend of easy-to-digest milk proteins designed to ease fussiness and gas.View larger.View details.Over 25 nutrients provide tailored nutrition for your toddler.View larger.Easy-to-Digest ProteinsEnfagrow&trade; Gentlease&reg; is a milk-based product designed to ease fussiness and gas. It is scientifically developed with a special blend of easy-to-digest milk proteins that are partially hydrolyzed, or partially broken down.Tailored for your Toddler's NutritionAs toddlers transition to new foods, ensuring complete nutrition can become more of a challenge. Enfagrow Gentlease helps toddlers get the nutrients they might still need- even after they outgrow infant formula.This product helps support the immune system as well as growth and brain development. A nutritious alternative to milk, this product includes the DHA that milk lacks.Triple Health GuardEnfagrow Gentlease has Triple Health Guard to help support the immune system, growth, and brain development.With over 25 nutrients to support healthy growth, this product offers tailored nutrition for toddlers. Since approximately 85 percent of brain growth will be completed by age three, this product includes omega-3 DHA, and iron, building blocks of the toddler's developing brain. It also includes vitamin C, vitamin E, antioxidants, and other nutrients that help support your toddler's growth and developing immune system.Enfagrow Gentlease is intended as part of a balanced diet. All kids should eat and drink healthfully and get plenty of exercise.About Enfamil: Inspired by MomBacked by a century of innovation, Mead Johnson strives to be the world's leading provider of science-based pediatric nutrition products. They are dedicated to helping provide infants and children with the best start in life.Over the years, Mead Johnson has produced an impressive array of infant formula, vitamin, and specialty nutritional innovations including Enfamil, their leading product today.What's in the BoxEnfagrow Gentlease 24-Ounce Canister.Information current as of March 9, 2012.Mead Johnson is proud to have a full line of infant formulas to meet the needs of babiesFor NewbornsFor Most InfantsFor Fussiness and GasEnfamil PREMIUM NewbornEnfamil PREMIUM InfantEnfamil GentleaseFor Cow's Milk AllergyFor Spit UpFor Soy PreferenceNutramigen with Enflora LGGEnfamil A.R.Enfamil ProSobeeFor ToddlersFor Most ToddlersEnfagrow PREMIUM ToddlerFor Fussiness and GasEnfagrow GentleaseFor Soy PreferenceEnfagrow SoyFor Older ToddlersEnfagrow PREMIUM Vanilla","Enfagrow Toddler Transitions Gentlease, Milk-Based Powder with Iron, 21 Ounce",20.99
136,136,"Enfagrow PREMIUM Older Toddler includes the nutrients tailored for your toddler's healthy physical growth and mental development. A nutritious alternative to milk, this product includes nutrients that help support the growth and immune systems of toddlers 1 year and up. This product is part of Enfamil Staged Nutrition, along with Enfamil PREMIUM Newborn, Enfamil PREMIUM Infant and Enfagrow PREMIUM Toddler (sold separately).PREMIUM Older ToddlerAt a Glance:Provides your toddler with tailored nutritionVanilla-flavored formula for toddlers 1 year and upHelps support healthy growth and brain developmentHelps support a toddler's developing immune systemDeveloped by Mead Johnson, a leading provider of science-based pediatric nutrition products for over 100 yearsDesigned to provide nutrients essential for the continued development of toddlers.View larger.View details.With 22 nutrients provide tailored nutrition and support healthy growth.View larger.Tailored for your Toddler's NutritionAs toddlers transition to new foods, ensuring good nutrition can become more of a challenge. Enfagrow&trade; PREMIUM&trade; Older Toddler helps older toddlers get the nutrients they might still need.This vanilla-flavored product helps support the immune system as well as growth and brain development. A nutritious alternative to milk, this product includes the DHA that milk lacks. It also has 22 nutrients, including Iron, Vitamin C, and Vitamin E, to help support healthy growth and development, as well as Natural Defense Dual Prebiotics designed to help support digestive health. Its antioxidants also help support your toddler's developing immune system.Triple Health GuardEnfagrow PREMIUM Older Toddler has Triple Health Guard to help support the immune system, growth, and brain development.With 22 nutrients to support healthy growth, this product offers tailored nutrition for toddlers. Since approximately 85 percent of brain growth will be completed by age three, this product includes omega-3 DHA, and iron, building blocks of the toddler's developing brain. It also includes vitamin C, vitamin E, antioxidants, and other nutrients that help support your toddler's developing immune system.Enfagrow PREMIUM Older Toddler is intended as part of a balanced diet. All kids should eat and drink healthfully and get plenty of exercise.About Enfamil: Inspired by MomBacked by a century of innovation, Mead Johnson strives to be the world's leading provider of science-based pediatric nutrition products. They are dedicated to helping provide infants and children with the best start in life.Over the years, Mead Johnson has produced an impressive array of infant formula, vitamin, and specialty nutritional innovations including Enfamil, their leading product today.What's in the BoxEnfagrow PREMIUM Older Toddler Vanilla 24-Ounce Canister.Information current as of March 9, 2012.Mead Johnson is proud to have a full line of infant formulas to meet the needs of babiesFor NewbornsFor Most InfantsFor Fussiness and GasEnfamil PREMIUM NewbornEnfamil PREMIUM InfantEnfamil GentleaseFor Cow's Milk AllergyFor Spit UpFor Soy PreferenceNutramigen with Enflora LGGEnfamil A.R.Enfamil ProSobeeFor ToddlersFor Most ToddlersEnfagrow PREMIUM ToddlerFor Fussiness and GasEnfagrow GentleaseFor Soy PreferenceEnfagrow SoyFor Older ToddlersEnfagrow PREMIUM Vanilla","Enfagrow Toddler Next Step Vanilla  Powder Can, for Toddlers 1 Year and Up, 24 Ounce Powder Formula",11.12
137,137,"About GoPicnic Go meals:Go meals literally 'go' anywhere with you, and are compact enough to slip into a laptop bag or purse!  Although small in size, there's a lot of food packed into a compact space, with five to six choice food items plus any necessary utensils and moist towelette in each meal.  There are eight tasty Go meals to choose from with between 340 and 550 calories per meal, including great options for breakfast, lunch or a satisfying snack on the go!","GoPicnic GoEnergy,  Hummus &amp; Crackers, Ready-to-Eat Meals (Pack of 4)",0.0
138,138,"About GoPicnic MightyMunch meals:GoPicnic MightyMunch kids meals are packed with fun, tasty foods that are nutritious AND delicious! Each kids meal is balanced to limit overall fat, saturated fat and sugar content, and contains protein, grains & fruit as well as a sweet treat and a fun surprise.  Natural ingredients are at the core of MightyMunch kids meals &#x96; our food contains no trans fats, high fructose corn syrup, MSG, artificial flavors or artificial colors.  MightyMunch kids meals also have no peanut or tree nut ingredients. Each food item is individually packaged and needs no refrigeration or heating &#x96; that means you can eat MightyMunch kids meals anytime, anywhere.","GoPicnic ExploreMunch, Turkey Stick &amp; Cheese, Ready-to-Eat Meals (Pack of 4)",0.0
139,139,"For the past 20 years, Newman's Own Organics has been offering Great Tasting Products That Happen to Be Organic. Our Signature Series Chocolate Bars do not contain any artificial colors, flavors or preservatives.  These organic chocolate bars contain Rainforest Alliance Certified&#x2122; Cocoa and are available in 6 flavors: Dark Chocolate, Super Dark Chocolate, Orange Dark Chocolate, Espresso Dark Chocolate, Milk Chocolate, Mocha Milk Chocolate. Through the sale of it's products, Newman's Own Organics generates money for the Newman's Own Foundation to donate to a wide variety of charitable organizations.","Newman's Own Organics Organic Premium Chocolate Bar, Super Dark 70% Cocoa, 2.25-Ounce Bars (Pack of 12)",29.35
